InChI,SMILES,Count
ABMACCSYPKUSNS-UHFFFAOYSA-N,O=c1cc2[nH]ccn2c2ccccc12,10
ABMMWJLKKXFIHW-SECBINFHSA-N,O=[S@@]1Cc2ccsc2C1,4
ABMMWJLKKXFIHW-VIFPVBQESA-N,O=[S@]1Cc2ccsc2C1,4
ABNBKDMCSJDWAD-NWDGAFQWSA-N,O=C1CCCC=CCC2(CNC2)C(=O)N[C@@H]2COC[C@@H]2N1,4
ABNKWMOZTVYNDG-UHFFFAOYSA-N,O=c1ccccc2c3c([nH]c12)CCCC3,2
ABNLHJNXTWJEPR-OLQVQODUSA-N,C1NC[C@H]2C[NH+]C[C@@H]12,58
ABNLMLJMNFZFET-UHFFFAOYSA-N,O=C1c2ccccc2-c2ncncc21,4
ABNOTFZQQIRKLH-UHFFFAOYSA-N,O=C1NC=NNc2ccccc21,2
ABNPYSWVZBYFOJ-UXHICEINSA-N,O=C1N[C@@H]2CCCC[C@@H]2NC(=O)C2(CC=CCc3ccccc31)CCOCC2,2
ABNPYSWVZBYFOJ-VQTJNVASSA-N,O=C1N[C@H]2CCCC[C@H]2NC(=O)C2(CC=CCc3ccccc31)CCOCC2,2
ABNPYSWVZBYFOJ-WOJBJXKFSA-N,O=C1N[C@@H]2CCCC[C@H]2NC(=O)C2(CC=CCc3ccccc31)CCOCC2,2
ABNXEGUBGHXRRQ-UHFFFAOYSA-N,C1CNCC2(C1)CCNCC2,15814608
ABNXEGUBGHXRRQ-UHFFFAOYSA-O,C1C[NH2+]CC2(C1)CCNCC2,100
ABNXEGUBGHXRRQ-UHFFFAOYSA-P,C1C[NH2+]CC2(C1)CC[NH2+]CC2,36
ABNXEHRVCYFYFH-HRAATJIYSA-N,O=C1N[C@H]2CCCN(C2)C(=O)[C@@]2(CC=CCOc3ccccc31)CCCN2,2
ABNXEHRVCYFYFH-IERDGZPVSA-N,O=C1N[C@@H]2CCCN(C2)C(=O)[C@]2(CC=CCOc3ccccc31)CCCN2,6
ABNXEHRVCYFYFH-IIBYNOLFSA-N,O=C1N[C@@H]2CCCN(C2)C(=O)[C@@]2(CC=CCOc3ccccc31)CCCN2,6
ABNXEHRVCYFYFH-KKSFZXQISA-N,O=C1N[C@H]2CCCN(C2)C(=O)[C@]2(CC=CCOc3ccccc31)CCCN2,2
ABOWXCHHZCVHPV-MRXNPFEDSA-N,O=C1CCNCC=CCOCC(=O)N2Cc3ccccc3[C@@H](C2)N1,2
ABPZSWLGFOISTR-GFCCVEGCSA-N,O=C1C=C2Oc3ccccc3[C@H]2c2oncc21,2
ABPZSWLGFOISTR-LBPRGKRZSA-N,O=C1C=C2Oc3ccccc3[C@@H]2c2oncc21,2
ABQBCBJSKVWYKG-BQBZGAKWSA-N,N=C1NC2(OCCO2)[C@H]2C=CNC[C@H]12,4
ABQBCBJSKVWYKG-RQJHMYQMSA-N,N=C1NC2(OCCO2)[C@H]2C=CNC[C@@H]12,4
ABQGEZKCJAMUSS-UHFFFAOYSA-N,C1=CCC2(C1)CCCN2,12
ABQNNGKKDURJLS-LLVKDONJSA-N,O=C1CS[C@H]2N1CCCNC21CCCCC1,2
ABQNNGKKDURJLS-NSHDSACASA-N,O=C1CS[C@@H]2N1CCCNC21CCCCC1,2
ABRFGHAQPJMYTC-SECBINFHSA-N,O=C1CN[C@@H]2CCCc3cccc(c32)N1,45242
ABRFGHAQPJMYTC-UHFFFAOYSA-N,O=C1CNC2CCCc3cccc(c32)N1,328
ABRFGHAQPJMYTC-VIFPVBQESA-N,O=C1CN[C@H]2CCCc3cccc(c32)N1,45262
ABRIEBVNDATVMF-AWEZNQCLSA-N,O=C1CCCC=CCCCCC(=O)N2CCNC[C@H]2CN1,4
